IS,T,20–39,Observed water level time series,n/a,001/031
IS,V,,Special aeronautical observations (SPECI),SPECI,000/011
IS,W,,Aviation routine weather observations (METAR),METAR,000/010
IS,X,,Other surface data,"IAC, IAC FLEET",
IT,A,,Administrative message,,
IT,B,,Service message,,
IT,R,,Request for data (inclusive of type),,
IT,X,,Other text messages or information,,
IU,A,,Single level aircraft reports (automatic),AMDAR,004/000
IU,A,,Single level aircraft reports (manual),AIREP/PIREP,004/001
IU,B,,Single level balloon reports,n/a,
IU,C,,(used for single level satellite­derived reports –,SAREP/SATOB,005/000
,,,see Note 3),,
IU,D,,Dropsonde/Dropwindsondes,TEMP DROP,002/007
IU,E,,Ozone vertical sounding,n/a,008/001
IU,I,,Dispersal and transport analysis,n/a,009/000
IU,J,01–19,Upper wind from fixed land stations (entire,"PILOT (parts A, B,",002/001
,,,sounding),"C, D)",
IU,J,20–39,Upper wind from mobile land stations (entire,PILOT MOBIL,002/003
,,,sounding),"(parts A, B, C, D)",
IU,J,40–59,Upper wind from marine stations (entire,PILOT SHIP,002/002
,,,sounding),"(parts A, B, C, D)",
IU,K,01–19,Radio soundings from fixed land stations (up to,"TEMP (parts A, B)",002/004
,,,100 hPa),,
IU,K,20–39,Radio soundings from mobile land stations (up to,TEMP MOBIL,002/006
,,,100 hPa),"(parts A, B)",
IU,K,40–59,Radio soundings from marine stations (up to,TEMP SHIP,002/005
,,,100 hPa),"(parts A, B)",
IU,L,,Total ozone,,008/002
IU,M,,Model derived sondes,,
IU,N,,Rocketsondes,,
IU,O,,Profiles of aircraft observations in ascending/,AMDAR,002/020
,,,descending,,
IU,P,,Profilers,PILOT,002/010
IU,Q,,RASS temperature profilers,TEMP,002/011
IU,R,,(used for radiance data – see Note 3),,
IU,S,01–19,Radiosondes/pibal reports from fixed land,"TEMP (parts A, B,",002/004
,,,stations (entire sounding),"C, D)",
IU,S,20–39,Radio soundings from mobile land stations (entire,TEMP MOBIL,002/006
,,,sounding),"(parts A, B, C, D)",
IU,S,40–59,Radio soundings from marine stations (entire,TEMP SHIP,002/005
,,,sounding),"(parts A, B, C, D)",
IU,T,,(used for satellite­derived sondes – see Note 3),"SATEM, SARAD,",
,,,,SATOB,
IU,U,46–59,Monthly statistics of data from marine stations,SHIP,002/026
IU,W,01–19,Upper wind from fixed land stations (up to,"PILOT (parts A, B)",002/001
,,,100 hPa),,
IU,W,20–39,Upper wind from mobile land stations (up to,PILOT MOBIL,002/003
,,,100 hPa),"(parts A, B)",
IU,W,40–59,Upper wind from marine stations (up to 100 hPa),PILOT SHIP,002/002
,,,,"(parts A, B)",
IU,X,,Other upper­air reports,,
JO,I,,Sea ice,,
JO,S,,Sea surface and below soundings,,
JO,T,,Sea surface temperature,,
JO,W,,Sea surface waves,,
JO,X,,Other sea environmental data,,
JS,A,,Surface area forecast (e.g. airways),,
JS,D,,Radiological forecast,RADOF,
JS,M,,Surface forecasts (e.g. MOS),,
JS,O,,Maritime forecast,MAFOR,
JS,P,,Forecast amendments (airways),,
JS,R,,Hydrologic forecast,HYFOR,
JS,S,,Forecast amendments (TAF),,
JS,T,,Aerodrome forecast (TAF),,
JS,X,,Other surface forecasts,,
JT,E,,Tsunami,,
JT,H,,"Hurricane, typhoon, tropical storm warning",,
JT,S,,"Severe weather, SIGMET",,
JT,T,,Tornado warning,,
JT,X,,Other warnings,,
JU,A,,Forecast at single levels,,
JU,B,,"Binary coded SIGWX, Embedded Cumulonimbus",,
JU,C,,"Binary coded SIGWX, Clear­air turbulence",,
JU,F,,"Binary coded SIGWX, Fronts",,
JU,N,,"Binary coded SIGWX, Other SIGWX parameters",,
JU,O,,"Binary coded SIGWX, Turbulence",,
JU,S,,Forecast soundings,,
JU,T,,"Binary coded SIGWX, Icing/Tropopause",,
JU,V,,"Binary coded SIGWX, Tropical storms,",,
,,,"sandstorms, volcanoes",,
JU,W,,"Binary coded SIGWX, High­level winds",,
JU,X,,Other upper­air forecasts,,
